Source (A),Source (B),WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
1314957617857466368,"Dutch hit daily record with around 6,500 new coronavirus cases https://t.co/ophFUlVcfs https://t.co/gUXA2PWTzz",21,96.66,50.0,13.15,25.77,21.0,14.29,33.33,9.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.52,0.0,4.76,0.0,0.0,4.76,9.52,0.0,0.0,9.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,0.0,4.76,9.52,0.0,0.0,0.0,0.0,0.0,0.0,9.52,0.0,9.52,0.0,0.0,0.0,33.33,9.52,4.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.05
1314946340036767746,"Myanmar reports more than 2,000 daily coronavirus cases in new record https://t.co/7r0npC8qJG https://t.co/mCiFxDoVIC",24,98.14,33.83,23.51,25.77,24.0,16.67,33.33,8.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.33,0.0,0.0,0.0,0.0,0.0,16.67,8.33,0.0,8.33,4.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.17,0.0,0.0,0.0,0.0,0.0,4.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,4.17,8.33,4.17,0.0,0.0,0.0,0.0,0.0,8.33,0.0,8.33,0.0,0.0,0.0,29.17,8.33,4.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67
1314938828818444289,"Dutch hit daily record with around 6,500 new coronavirus cases https://t.co/bVsZGlk1hV https://t.co/RmdEm0BhVc",21,96.66,50.0,13.15,25.77,21.0,14.29,33.33,9.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.52,0.0,4.76,0.0,0.0,4.76,9.52,0.0,0.0,9.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,0.0,4.76,9.52,0.0,0.0,0.0,0.0,0.0,0.0,9.52,0.0,9.52,0.0,0.0,0.0,33.33,9.52,4.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.05
1314934971715457025,Japan to ease curbs on short-term business travel with Vietnam - Yomiuri https://t.co/EHXHPhQoKL https://t.co/AKfUEp9NED,22,99.0,50.0,31.94,94.75,22.0,22.73,50.0,13.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.64,0.0,0.0,0.0,0.0,4.55,4.55,0.0,0.0,0.0,0.0,4.55,4.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.55,0.0,0.0,0.0,0.0,4.55,0.0,4.55,0.0,18.18,4.55,9.09,4.55,4.55,4.55,0.0,4.55,0.0,0.0,9.09,0.0,9.09,0.0,0.0,0.0,36.36,9.09,0.0,0.0,0.0,0.0,0.0,9.09,0.0,0.0,0.0,18.18
1314933973953523713,Portugal reports record high daily coronavirus infections https://t.co/mWwIcxTCyB https://t.co/tsSjNB5T0a,17,93.26,50.0,6.2,25.77,17.0,35.29,35.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.88,0.0,5.88,0.0,0.0,5.88,0.0,0.0,5.88,0.0,0.0,0.0,0.0,0.0,11.76,0.0,5.88,5.88,5.88,0.0,0.0,0.0,0.0,0.0,11.76,0.0,11.76,0.0,0.0,0.0,35.29,11.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.53
1314926178600398848,"Malaysia reports 374 new coronavirus cases, three deaths https://t.co/TygjQ3JzG7 https://t.co/48Qe1Rymvt",19,93.26,50.0,1.0,25.77,19.0,21.05,31.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.26,0.0,0.0,10.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.26,0.0,0.0,5.26,5.26,0.0,0.0,0.0,0.0,5.26,10.53,0.0,10.53,0.0,0.0,0.0,36.84,10.53,5.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.05
1314921122597490693," 'WATCH: Business is booming at a ship-breaking yard in Aliaga, Turkey, where cruise ships are being dismantled for scrap-metal sales after lockdowns all but destroyed the industry ",29,95.92,36.51,47.93,1.0,29.0,24.14,68.97,37.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,13.79,10.34,3.45,3.45,0.0,10.34,3.45,3.45,3.45,0.0,3.45,3.45,0.0,3.45,0.0,3.45,0.0,0.0,0.0,0.0,0.0,0.0,6.9,0.0,0.0,0.0,0.0,3.45,3.45,6.9,3.45,3.45,0.0,0.0,0.0,0.0,0.0,0.0,3.45,0.0,0.0,3.45,0.0,0.0,0.0,10.34,0.0,17.24,3.45,10.34,3.45,6.9,6.9,3.45,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.69,0.0,6.9,3.45,0.0,0.0,0.0,6.9,0.0,3.45,0.0,0.0
1314919880559415296,Cycling: Yates's positive coronavirus test casts shadow on Giro d'Italia https://t.co/bGLEGCpIO7 https://t.co/WhWAuF3qWC,21,96.66,50.0,1.0,95.81,21.0,23.81,28.57,4.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.76,0.0,0.0,0.0,0.0,0.0,4.76,0.0,0.0,0.0,0.0,4.76,4.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.76,0.0,0.0,0.0,0.0,4.76,0.0,4.76,4.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.76,0.0,0.0,0.0,4.76,0.0,0.0,0.0,0.0,4.76,0.0,4.76,0.0,4.76,0.0,0.0,0.0,0.0,0.0,9.52,0.0,9.52,0.0,0.0,0.0,42.86,9.52,0.0,4.76,0.0,0.0,0.0,0.0,0.0,9.52,0.0,19.05
1314917398475137025,"Poland's daily coronavirus cases top 5,000 but schools stay open https://t.co/xzIvJyzS2G https://t.co/EATuD2XLUH",21,87.62,31.71,68.01,25.77,21.0,23.81,38.1,4.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.76,0.0,9.52,9.52,4.76,0.0,9.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.76,0.0,0.0,0.0,0.0,0.0,4.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.76,0.0,4.76,4.76,0.0,0.0,0.0,9.52,0.0,19.05,4.76,14.29,4.76,4.76,0.0,0.0,0.0,0.0,0.0,9.52,0.0,9.52,0.0,0.0,0.0,38.1,9.52,4.76,0.0,0.0,0.0,0.0,0.0,0.0,4.76,0.0,19.05
1314911086433497089,"Dutch hit daily record with around 6,500 new coronavirus cases https://t.co/vcPzeu0nrv https://t.co/JvacX2SUPQ",21,96.66,50.0,13.15,25.77,21.0,14.29,33.33,9.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.52,0.0,4.76,0.0,0.0,4.76,9.52,0.0,0.0,9.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,0.0,4.76,9.52,0.0,0.0,0.0,0.0,0.0,0.0,9.52,0.0,9.52,0.0,0.0,0.0,33.33,9.52,4.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.05
