daily,case,32
daily,coronavirus,11
daily,infection,16
daily,high,13
daily,since,10
daily,see,4
daily,number,11
daily,expert,2
daily,covid,21
daily,new,21
daily,hit,2
daily,record,18
daily,italy,2
daily,prime,1
daily,minister,1
daily,public,4
daily,large,2
daily,surpass,4
daily,mark,4
daily,one,3
daily,week,3
daily,report,22
daily,russia,4
daily,germany,2
daily,start,3
daily,outbreak,4
daily,confirm,7
daily,past,5
daily,hour,5
daily,positive,2
daily,test,2
daily,restriction,1
daily,across,1
daily,national,5
daily,health,10
daily,world,3
daily,organization,2
daily,around,2
daily,first,2
daily,time,3
daily,begin,2
daily,province,1
daily,increase,3
daily,death,7
daily,take,1
daily,toll,2
daily,ministry,3
daily,say,4
daily,register,3
daily,three,2
daily,month,2
daily,measure,4
daily,bring,2
daily,set,1
daily,tally,2
daily,accord,3
daily,authority,2
daily,country,2
daily,rise,2
daily,hold,1
daily,general,1
daily,election,1
daily,international,1
daily,train,1
daily,detect,1
daily,announce,1
daily,surge,2
daily,total,1
daily,people,1
daily,york,1
daily,state,1
daily,region,1
daily,next,1
daily,day,1
daily,spike,1
daily,may,1
daily,pandemic,3
daily,local,1
case,coronavirus,62
case,infection,26
case,high,19
case,since,29
case,see,15
case,number,54
case,expert,8
case,covid,141
case,surpass,13
case,million,54
case,week,13
case,pandemic,11
case,take,25
case,toll,8
case,economy,2
case,confirm,50
case,one,31
case,many,2
case,health,75
case,worker,5
case,become,4
case,first,12
case,country,38
case,report,145
case,continent,7
case,reach,9
case,accord,48
case,ministry,22
case,register,26
case,new,148
case,overseas,23
case,national,29
case,commission,15
case,announce,16
case,student,3
case,university,12
case,stay,2
case,order,1
case,data,4
case,local,18
case,among,1
case,late,9
case,news,4
case,across,10
case,global,14
case,pass,10
case,urge,2
case,follow,10
case,people,18
case,increase,11
case,positive,14
case,raise,6
case,amid,6
case,second,6
case,wave,5
case,continue,7
case,surge,22
case,recovery,1
case,close,4
case,treatment,1
case,due,1
case,patient,7
case,record,31
case,official,13
case,government,9
case,show,8
case,bring,13
case,total,54
case,confirmed,22
case,african,4
case,africa,18
case,center,18
case,disease,7
case,control,9
case,prevention,7
case,say,36
case,tally,14
case,world,22
case,cite,1
case,india,10
case,brazil,9
case,year,5
case,could,3
case,hit,6
case,public,5
case,outbreak,7
case,spread,4
case,need,1
case,italy,8
case,measure,6
case,rise,22
case,death,51
case,top,8
case,hong,4
case,protection,15
case,past,27
case,hour,35
case,city,28
case,east,7
case,china,14
case,asymptomatic,9
case,back,1
case,time,7
case,month,3
case,face,4
case,mask,1
case,far,15
case,day,23
case,begin,10
case,four,2
case,state,18
case,president,6
case,trump,2
case,set,3
case,hold,3
case,york,7
case,open,3
case,governor,2
case,include,13
case,reopen,1
case,plan,1
case,mark,9
case,russia,16
case,qingdao,12
case,find,6
case,complete,1
case,last,8
case,united,6
case,germany,5
case,start,4
case,detect,10
case,spike,8
case,two,14
case,statement,4
case,response,6
case,contract,2
case,study,2
case,virus,5
case,authority,12
case,receive,2
case,six,11
case,transmit,13
case,school,4
case,region,11
case,chief,1
