created_at,id,id_str,text,source,truncated,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user,geo,coordinates,place,contributors,is_quote_status,extended_tweet,quote_count,reply_count,retweet_count,favorite_count,entities,favorited,retweeted,possibly_sensitive,filter_level,lang,matching_rules
Fri Apr 09 09:07:36 +0000 2021,1380447292407304192,1380447292407304192,"John Kerry, the special U.S. envoy on climate, is in Bangladesh to hear what the South Asia delta nation has done t… https://t.co/iaaC57CKdZ","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",True,,,,,,"{'id': 51241574, 'id_str': '51241574', 'name': 'The Associated Press', 'screen_name': 'AP', 'location': 'Global', 'url': 'https://apnews.com/', 'description': 'News from The Associated Press, and a taste of the great journalism produced by AP members and customers.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 15409576, 'friends_count': 6843, 'listed_count': 102145, 'favourites_count': 3711, 'statuses_count': 306687, 'created_at': 'Fri Jun 26 21:48:52 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '333333', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_link_color': 'CC3300', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'CCCCCC', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/461964160838803457/8z9FImcv_normal.png', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/461964160838803457/8z9FImcv_normal.png', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/51241574/1638483576', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'withheld_in_countries': []}",,,,,False,"{'full_text': 'John Kerry, the special U.S. envoy on climate, is in Bangladesh to hear what the South Asia delta nation has done to deal with weather extremes and rising sea levels ahead of a virtual summit hosted by President Joe Biden this month. https://t.co/VCP47Rp6y6', 'display_text_range': [0, 257], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/VCP47Rp6y6', 'expanded_url': 'http://apne.ws/GcEyh4l', 'display_url': 'apne.ws/GcEyh4l', 'indices': [234, 257]}], 'user_mentions': [], 'symbols': []}}",4,36,46,215,"{'hashtags': [], 'urls': [{'url': 'https://t.co/iaaC57CKdZ', 'expanded_url': 'https://twitter.com/i/web/status/1380447292407304192', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}]
Wed Apr 07 01:43:54 +0000 2021,1379610855722119169,1379610855722119169,"“Republicans drink Coca-Cola too."" Senate GOP leader Mitch McConnell advises CEOs against echoing the kinds of stat… https://t.co/0b5SaQm3pr","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",True,,,,,,"{'id': 51241574, 'id_str': '51241574', 'name': 'The Associated Press', 'screen_name': 'AP', 'location': 'Global', 'url': 'https://apnews.com/', 'description': 'News from The Associated Press, and a taste of the great journalism produced by AP members and customers.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 15409576, 'friends_count': 6843, 'listed_count': 102145, 'favourites_count': 3711, 'statuses_count': 306687, 'created_at': 'Fri Jun 26 21:48:52 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '333333', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_link_color': 'CC3300', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'CCCCCC', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/461964160838803457/8z9FImcv_normal.png', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/461964160838803457/8z9FImcv_normal.png', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/51241574/1638483576', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'withheld_in_countries': []}",,,,,False,"{'full_text': '“Republicans drink Coca-Cola too."" Senate GOP leader Mitch McConnell advises CEOs against echoing the kinds of statements made by the soft drink maker, Delta Air Lines and MLB in opposition to Georgia\'s voting law. https://t.co/XpOKIEy5Nn (Corrects spelling of Delta Air Lines)', 'display_text_range': [0, 277], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/XpOKIEy5Nn', 'expanded_url': 'http://apne.ws/BrML7yn', 'display_url': 'apne.ws/BrML7yn', 'indices': [215, 238]}], 'user_mentions': [], 'symbols': []}}",53,190,30,189,"{'hashtags': [], 'urls': [{'url': 'https://t.co/0b5SaQm3pr', 'expanded_url': 'https://twitter.com/i/web/status/1379610855722119169', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}]
