created_at,id,id_str,text,source,truncated,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user,geo,coordinates,place,contributors,is_quote_status,extended_tweet,quote_count,reply_count,retweet_count,favorite_count,entities,favorited,retweeted,possibly_sensitive,filter_level,lang,matching_rules,display_text_range,extended_entities
Mon Feb 17 20:58:55 +0000 2020,1229510560523456513,1229510560523456513,"""It appears that COVID-19 is not as deadly as other coronaviruses, including SARS and MERS."" - Tedros Adhanom, dire… https://t.co/tynafZOZ6k","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",True,1.2294935733824963e+18,1229493573382496257,4970411.0,4970411,AJEnglish,"{'id': 4970411, 'id_str': '4970411', 'name': 'Al Jazeera English', 'screen_name': 'AJEnglish', 'location': 'Doha, Qatar', 'url': 'http://aljazeera.com', 'description': 'Hear the human story and join the discussion. We go beyond cold facts and bring to light what matters. For breaking news alerts, follow @AJENews.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 7290807, 'friends_count': 238, 'listed_count': 54440, 'favourites_count': 9253, 'statuses_count': 293602, 'created_at': 'Tue Apr 17 08:23:08 +0000 2007', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'FFFFFF', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': True, 'profile_link_color': '234D8C', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'DDDDDD', 'profile_text_color': '000000', 'profile_use_background_image': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1190503555901394944/T4qowO0X_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1190503555901394944/T4qowO0X_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/4970411/1617188366', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'withheld_in_countries': []}",,,,,False,"{'full_text': '""It appears that COVID-19 is not as deadly as other coronaviruses, including SARS and MERS."" - Tedros Adhanom, director general @WHO. https://t.co/psblVKQHQg', 'display_text_range': [0, 157], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/psblVKQHQg', 'expanded_url': 'https://aje.io/34wgb', 'display_url': 'aje.io/34wgb', 'indices': [134, 157]}], 'user_mentions': [{'screen_name': 'WHO', 'name': 'World Health Organization (WHO)', 'id': 14499829, 'id_str': '14499829', 'indices': [128, 132]}], 'symbols': []}}",2,3,40,51,"{'hashtags': [], 'urls': [{'url': 'https://t.co/tynafZOZ6k', 'expanded_url': 'https://twitter.com/i/web/status/1229510560523456513', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,
Wed Feb 12 21:15:26 +0000 2020,1227702775867420673,1227702775867420673,How long will COVID-19 outbreak last; how can you stay protected? https://t.co/7oq2Z2LBoQ,"<a href=""https://trueanthem.com/"" rel=""nofollow"">True Anthem</a>",False,,,,,,"{'id': 4970411, 'id_str': '4970411', 'name': 'Al Jazeera English', 'screen_name': 'AJEnglish', 'location': 'Doha, Qatar', 'url': 'http://aljazeera.com', 'description': 'Hear the human story and join the discussion. We go beyond cold facts and bring to light what matters. For breaking news alerts, follow @AJENews.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 7290807, 'friends_count': 238, 'listed_count': 54440, 'favourites_count': 9253, 'statuses_count': 293602, 'created_at': 'Tue Apr 17 08:23:08 +0000 2007', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'FFFFFF', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': True, 'profile_link_color': '234D8C', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'DDDDDD', 'profile_text_color': '000000', 'profile_use_background_image': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1190503555901394944/T4qowO0X_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1190503555901394944/T4qowO0X_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/4970411/1617188366', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'withheld_in_countries': []}",,,,,False,,3,9,30,61,"{'hashtags': [], 'urls': [{'url': 'https://t.co/7oq2Z2LBoQ', 'expanded_url': 'https://www.aljazeera.com/news/2020/02/long-covid-19-outbreak-stay-protected-200212140216674.html?taid=5e446aed81f808000152905d&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter', 'display_url': 'aljazeera.com/news/2020/02/l…', 'indices': [66, 89]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,
Tue Feb 11 20:30:00 +0000 2020,1227328955037802496,1227328955037802496,"'COVID-19' was chosen to avoid references to a specific location, animal species or group of people in line with in… https://t.co/aAatrjG9zb","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",True,1.2273176307986883e+18,1227317630798688256,4970411.0,4970411,AJEnglish,"{'id': 4970411, 'id_str': '4970411', 'name': 'Al Jazeera English', 'screen_name': 'AJEnglish', 'location': 'Doha, Qatar', 'url': 'http://aljazeera.com', 'description': 'Hear the human story and join the discussion. We go beyond cold facts and bring to light what matters. For breaking news alerts, follow @AJENews.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 7290807, 'friends_count': 238, 'listed_count': 54440, 'favourites_count': 9253, 'statuses_count': 293602, 'created_at': 'Tue Apr 17 08:23:08 +0000 2007', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'FFFFFF', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': True, 'profile_link_color': '234D8C', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'DDDDDD', 'profile_text_color': '000000', 'profile_use_background_image': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1190503555901394944/T4qowO0X_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1190503555901394944/T4qowO0X_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/4970411/1617188366', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'withheld_in_countries': []}",,,,,False,"{'full_text': ""'COVID-19' was chosen to avoid references to a specific location, animal species or group of people in line with international recommendations. https://t.co/tp1ybV7UWc"", 'display_text_range': [0, 167], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/tp1ybV7UWc', 'expanded_url': 'https://aje.io/a7jb2', 'display_url': 'aje.io/a7jb2', 'indices': [144, 167]}], 'user_mentions': [], 'symbols': []}}",4,5,18,44,"{'hashtags': [], 'urls': [{'url': 'https://t.co/aAatrjG9zb', 'expanded_url': 'https://twitter.com/i/web/status/1227328955037802496', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,
Tue Feb 11 19:45:00 +0000 2020,1227317630798688256,1227317630798688256,World Health Organization announces official name for deadly #coronavirus | https://t.co/nEcKee53qU https://t.co/AgPAfrRTX6,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",False,1.2272883943902167e+18,1227288394390216704,4970411.0,4970411,AJEnglish,"{'id': 4970411, 'id_str': '4970411', 'name': 'Al Jazeera English', 'screen_name': 'AJEnglish', 'location': 'Doha, Qatar', 'url': 'http://aljazeera.com', 'description': 'Hear the human story and join the discussion. We go beyond cold facts and bring to light what matters. For breaking news alerts, follow @AJENews.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 7290807, 'friends_count': 238, 'listed_count': 54440, 'favourites_count': 9253, 'statuses_count': 293602, 'created_at': 'Tue Apr 17 08:23:08 +0000 2007', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'FFFFFF', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': True, 'profile_link_color': '234D8C', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'DDDDDD', 'profile_text_color': '000000', 'profile_use_background_image': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1190503555901394944/T4qowO0X_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1190503555901394944/T4qowO0X_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/4970411/1617188366', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'withheld_in_countries': []}",,,,,False,,14,13,83,119,"{'hashtags': [{'text': 'coronavirus', 'indices': [61, 73]}], 'urls': [{'url': 'https://t.co/nEcKee53qU', 'expanded_url': 'https://aje.io/pyxqw', 'display_url': 'aje.io/pyxqw', 'indices': [76, 99]}], 'user_mentions': [], 'symbols': [], 'media': [{'id': 1227313665118015495, 'id_str': '1227313665118015495', 'indices': [100, 123], 'media_url': 'http://pbs.twimg.com/media/EQhLRp1XkAc4aTR.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EQhLRp1XkAc4aTR.jpg', 'url': 'https://t.co/AgPAfrRTX6', 'display_url': 'pic.twitter.com/AgPAfrRTX6', 'expanded_url': 'https://twitter.com/AJEnglish/status/1227317630798688256/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1080, 'h': 565, 'resize': 'fit'}, 'medium': {'w': 1080, 'h': 565, 'resize': 'fit'}, 'small': {'w': 680, 'h': 356, 'resize': 'fit'}}}]}",False,False,False,low,en,[{'tag': None}],"[0, 99]","{'media': [{'id': 1227313665118015495, 'id_str': '1227313665118015495', 'indices': [100, 123], 'media_url': 'http://pbs.twimg.com/media/EQhLRp1XkAc4aTR.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EQhLRp1XkAc4aTR.jpg', 'url': 'https://t.co/AgPAfrRTX6', 'display_url': 'pic.twitter.com/AgPAfrRTX6', 'expanded_url': 'https://twitter.com/AJEnglish/status/1227317630798688256/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1080, 'h': 565, 'resize': 'fit'}, 'medium': {'w': 1080, 'h': 565, 'resize': 'fit'}, 'small': {'w': 680, 'h': 356, 'resize': 'fit'}}}]}"
