text;favorite_count;media;periode
 'Twenty recovered #coronavirus patients, aged 15 to 65, were discharged from the Wuhan Jinyintan Hospital on Friday.\n \nThey represent the largest number of people discharged at the same time since the outbreak began. ;1103;CGTNOfficial;JanFeb2020
" '""Be Strong, Wuhan!"" Creative snow art dedicated to health workers bravely fighting against the novel coronavirus outbreak in Wuhan, center of the novel coronavirus outbreak.(source: internet, credit: ahu215) ";1057;XHNews;JanFeb2020
"""Be Strong, Wuhan!"" Creative snow art dedicated to health workers bravely fighting against the novel coronavirus ou… https://t.co/toGhNKPgmr";1057;XHNews;JanFeb2020
LIVE: Huoshenshan Hospital is under construction in Wuhan, China. The makeshift hospital is expected to be put into… https://t.co/kBsDybXUh5;1022;XHNews;JanFeb2020
LIVE: Huoshenshan Hospital is under construction in Wuhan, China. The makeshift hospital is expected to be put into… https://t.co/kBsDybXUh5;1021;XHNews;JanFeb2020
First #coronavirus patient in east China's Zhejiang Province cured https://t.co/OfoR85vQFf;1013;CGTNOfficial;JanFeb2020
"Stay strong, ""little chubby, risible girl!""
A 3-month-old girl infected with novel #coronavirus is in stable condit… https://t.co/0RmNGHE2ao";990;XHNews;JanFeb2020
" 'Stay strong, ""little chubby, risible girl!""\nA 3-month-old girl infected with novel #coronavirus is in stable condition in east China. 6 medics have become ""fresh moms"" ";990;XHNews;JanFeb2020
" ""Today is China's Lantern Festival, a day for family reunion to mark the end of the Chinese New Year holiday season.\n\nHere is the video to show our respect to health workers who fight at the front line of #CoronavirusOutbreak. We wish them a happy and healthy New Year.❤️ ";972;CGTNOfficial;JanFeb2020
In China's battle against the novel #coronavirus, women have shown their professionalism, devotion and resilience a… https://t.co/iqFAVJGFaV;964;XHNews;JanFeb2020
" ""In China's battle against the novel #coronavirus, women have shown their professionalism, devotion and resilience alongside their male peers. #FightVirus ";964;XHNews;JanFeb2020
 'In just 10 days! China builds new hospital to combat #coronavirus. With capacity of 1,000 beds, Huoshenshan hospital will bring hope to patients ;950;XHNews;JanFeb2020
In just 10 days! China builds new hospital to combat #coronavirus. With capacity of 1,000 beds, Huoshenshan hospita… https://t.co/7kMIMHIrfg;950;XHNews;JanFeb2020
#CoronavirusOutbreak  Construction for second mobile hospital in #Wuhan begins https://t.co/RuqlIXZpVR;934;CGTNOfficial;JanFeb2020
 'Liang Wudong, a doctor at Hubei Xinhua Hospital who had been at the front line of the #CoronavirusOutbreak battle in Wuhan, dies from the virus at age 62. ;920;CGTNOfficial;JanFeb2020
Robots are employed to offer services to people in quarantine amid the #coronavirus fight in China. #FightVirus https://t.co/fZGnUG0HDO;914;XHNews;JanFeb2020
#Coronavirus fight: Hundreds of trucks were dispatched to spray disinfectants overnight in Luoyang, China.… https://t.co/TzMJCRGeJB;908;XHNews;JanFeb2020
 '#Coronavirus fight: Hundreds of trucks were dispatched to spray disinfectants overnight in Luoyang, China. #FightVirus ;908;XHNews;JanFeb2020
" '#Wuhan, a city on lockdown due to #coronavirus outbreak, has released a spirit-lifting video saying, ""Wuhan, don\'t panic, we\'re waiting for you."" ";878;CGTNOfficial;JanFeb2020
#Wuhan's Huoshenshan Hospital nears completion https://t.co/dQ735L0hxP;874;CGTNOfficial;JanFeb2020
Exclusive: #Wuhan couple recovers from #coronavirus, returns home on Friday https://t.co/T4257beu5h;867;CGTNOfficial;JanFeb2020
 '#ChinaToday in case you missed it \n- At least 543 coronavirus cases diagnosed in China, 17 dead ;862;CGTNOfficial;JanFeb2020
China's Wuhan will build a second #SARS treatment-model makeshift hospital and put it into use in half a month.… https://t.co/4WKiFewZbZ;845;XHNews;JanFeb2020
" ""China's Wuhan will build a second #SARS treatment-model makeshift hospital and put it into use in half a month. #pneumonia #coronavirus ";845;XHNews;JanFeb2020
China's Wuhan turns a convention center into a 1,000-bed makeshift hospital in just 24 hours to fight the novel… https://t.co/qzcLSaq6hZ;842;XHNews;JanFeb2020
" ""China's Wuhan turns a convention center into a 1,000-bed makeshift hospital in just 24 hours to fight the novel #coronavirus ";842;XHNews;JanFeb2020
" ""Real life hero.\n\nSurveillance footage shows a convenient store owner reacting heroically, saving a woman by using a long stick to hit a knife-wielding robber, who stabbed passengers in Binzhou City, east China's Shandong Province on September 12. #ChinaBuzz ";837;CGTNOfficial;SeptOct2020
" ""China completed a makeshift hospital in 10 days to battle against novel #coronavirus in Wuhan, epicenter of virus outbreak in central China's Hubei. Check a time-lapse video recording construction process ";835;XHNews;JanFeb2020
China completed a makeshift hospital in 10 days to battle against novel #coronavirus in Wuhan, epicenter of virus o… https://t.co/hpsBbTrGBL;835;XHNews;JanFeb2020
A nurse in Chengdu, China has her hair cut short before heading to Wuhan to help deal with the novel coronavirus ou… https://t.co/6PFV1833Hh;811;XHNews;JanFeb2020
 'A nurse in Chengdu, China has her hair cut short before heading to Wuhan to help deal with the novel coronavirus outbreak. #pneumonia ;811;XHNews;JanFeb2020
"🙂 A smile for you

Moon, Jupiter and Saturn formed a smiley face on the night sky in #China this weekend. https://t.co/iDAKTaulHR";804;CGTNOfficial;SeptOct2020
 'A video showing a car following a woman at 3 a.m. has gone viral on Chinese social media.❤️\n\nIn the video, Wang Yinghe drove behind his wife Wang Xiaoting to accompany her to her night shift at Wuchang Hospital after she refused to ride in for fear of any #coronavirus infection. ;793;CGTNOfficial;JanFeb2020
An 84-year-old woman in southeast China's Zhejiang Province donated her long-time savings of 50,000 yuan to aid the… https://t.co/gM8T4posUe;780;XHNews;JanFeb2020
" ""An 84-year-old woman in southeast China's Zhejiang Province donated her long-time savings of 50,000 yuan to aid the coronavirus control #coronavirus ";780;XHNews;JanFeb2020
 'LIVE: Huoshenshan Hospital, a #SARS treatment-model facility to take in #coronavirus patients, is near completion in Wuhan, China. #pneumonia ;780;XHNews;JanFeb2020
LIVE: Huoshenshan Hospital, a #SARS treatment-model facility to take in #coronavirus patients, is near completion i… https://t.co/ykzyWJoXGO;780;XHNews;JanFeb2020
A Helping Hand: Russia donates 13.2 tonnes of medical supplies to help fight the novel #coronavirus in China's Hubei https://t.co/5kSTSVOXvl;765;XHNews;JanFeb2020
Disinfection work in full swing in #Hubei to contain #coronavirus https://t.co/EI06J1rZ0a;735;CGTNOfficial;JanFeb2020
True love: 87-year-old man takes care of his wife despite both of them being infected with COVID-19… https://t.co/PtMUfDXM0s;733;XHNews;JanFeb2020
" '""Viruses do not need a passport"", Chinese are showing gratitude to world for help on curbing #coronavirus \n\n🇺🇸U.S.: to offer ""any help that is necessary"" \n\n🇯🇵Japan: donated 1 million masks, will send more medical necessities Wed. to Wuhan\n\n🇰🇷South Korea: donating 2 million masks ";732;CGTNOfficial;JanFeb2020
First patient recovers from #coronavirus in N China's Shanxi https://t.co/3tLB9V8Vc6;721;CGTNOfficial;JanFeb2020
 '#ShePower Respects to Chinese women fighting in frontline against #coronavirus\n\nThey include 72-year-old Prof. Li Lanjuan who supervises medical work in #Wuhan, female construction workers who participated in building a hospital in 10 days, nurses, doctors and scientists ;718;CGTNOfficial;JanFeb2020
" '""I\'m not a virus. I\'m a human. Eradicate the prejudice."" A Chinese Italian man protests coronavirus-related prejudice against the Chinese people in Italy #coronavirus ";715;XHNews;JanFeb2020
 'Bruised face, soaked in sweat... Chinese medical staff are going all out to fight the novel #coronavirus outbreak. #pneumonia ;715;XHNews;JanFeb2020
" ""Video: A nurse working in #Wuhan's makeshift hospital receives a phone call about her mother's demise, the only thing she can do was bowing three times to the direction of home, Kunming City of Yunnan Province, to show respects to her mother, and went back to work #COVID19 ";715;CGTNOfficial;JanFeb2020
A service robot makes deliveries at a #coronavirus isolation point in Jiaxing, China. #pneumonia https://t.co/skdr1wpked;714;XHNews;JanFeb2020
Heartwarming: A man donates large boxes of face masks to policemen on duty in Foshan, China. #pneumonia #coronavirus https://t.co/wKBtqRUl9I;714;XHNews;JanFeb2020
" ""Don't disturb him, just let him have his fun\n\nThe workout routine of a policeman on duty in #Wuhan has become a hit online during the #COVID19 outbreak ";711;CGTNOfficial;JanFeb2020
A race against time! Wuhan follows Beijing's SARS treatment model to build a special hospital in new coronavirus co… https://t.co/4nGo0ZNfXz;694;XHNews;JanFeb2020
" ""A race against time! Wuhan follows Beijing's SARS treatment model to build a special hospital in new coronavirus control. \nThe hospital will be put into use by Feb. 3. ";694;XHNews;JanFeb2020
" 'The specialized hospital set up for patients with the new #coronavirus has been named “Huoshenshan Hospital"", according to Wuhan authorities. \n\xa0\nThe new hospital is expected to contain 1,000 beds ";692;CGTNOfficial;JanFeb2020
 'Serbian President Aleksandar Vucic  received a dose of Chinese #Sinopharm COVID-19 vaccine on Tuesday, encouraging more people to join the immunization, according to local media. ;689;CGTNOfficial;MarchApril2021
" ""UFO on Earth? 🛸\n\n#China's domestically developed 3D screen amazes tourists in SW China's Chengdu City, Sichuan Province. Take a look at this viral video! ";676;CGTNOfficial;SeptOct2020
An 80-year-old woman in Heilongjiang, China tried to donate her pension to aid the #coronavirus fight. Watch what c… https://t.co/Ij7F2VLXEg;672;XHNews;JanFeb2020
 'An 80-year-old woman in Heilongjiang, China tried to donate her pension to aid the #coronavirus fight. Watch what came next. #StayStrongChina ;672;XHNews;JanFeb2020
" '#Coronavirus fight: ""Nurse mothers"" at isolation points care for two children whose parents were infected with coronavirus. #FightVirus ";669;XHNews;JanFeb2020
" ""A #German aircraft carrying over five tons of medical supplies arrived in China's central city of #Wuhan on Saturday morning to help contain the deadly #coronavirus outbreak in China 🇩🇪🇨🇳❤️ #StandWithWuhan \n\nfollow CGTN's live updates: ";668;CGTNOfficial;JanFeb2020
Facts have proved once again that China and Pakistan are true friends and good brothers that share weal and woe, Ch… https://t.co/Z8vtLq4kIg;663;XHNews;JanFeb2020
" ""#ICYMI China's first 10 female army pilots complete their first solo flights\n\nGraduating from high school in 2017, these 10 ladies were the first female pilots the army recruited. They will finish their training in 2021. Bon voyage! ";652;CGTNOfficial;SeptOct2020
 'Approved by Chairman of the Central Military Commission #XiJinping, 1,400 medical staff from the armed forces are tasked with treating patients in Huoshenshan Hospital, a makeshift hospital  in #Wuhan dedicated to treating patients infected with the #coronavirus from Monday ;651;CGTNOfficial;JanFeb2020
Live: Construction underway for #Wuhan makeshift hospitals for novel #coronavirus patients https://t.co/Zj3PfUkDkD;650;CGTNOfficial;JanFeb2020
Take a look at the world's highest spokeless Ferris Wheel in China https://t.co/yUHV3dtkoh;640;XHNews;JanFeb2020
"""Five suns"" appear in China's Inner Mongolia

🌞🌞🌞🌞🌞 https://t.co/BoYuzZ2Heb";639;CGTNOfficial;JanFeb2020
 'Heartwarming: Medical staff from Xinjiang lead coronavirus patients in a dance at a makeshift hospital in Wuhan. #StayStrongChina ;633;XHNews;JanFeb2020
Heartwarming: Medical staff from Xinjiang lead coronavirus patients in a dance at a makeshift hospital in Wuhan.… https://t.co/xTWFPB0kc7;633;XHNews;JanFeb2020
" ""A 7-month-old baby infected with the novel #coronavirus has been discharged from hospital after recovery in central China's Hunan Province. ";628;CGTNOfficial;JanFeb2020
